RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
279.692289665259693	 -5.041281103361122	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
150.826583224793296	  9.113930958943703	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
150.808913141516086	  9.086451973008753	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
151.109010653298725	  9.432211694790720	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
  7.842020807852102	  0.158593936897693	|  NF   |  NF   |  NF   |  NF   | fail1 |success|1
253.389213204849682	-56.549479263909831	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
252.640761061821081	-56.934106709624054	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
274.891789659185292	-27.934901190865080	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
246.339517347648467	-54.457949466420096	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
246.322574332364212	-54.423610525677923	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
245.966758169788108	-54.233022173665844	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
246.110759608787305	-54.251470693468242	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
233.572418714294542	  2.313006774601264	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
236.007394480415627	  2.514577634924034	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 50.234538383731270	 66.910114942887958	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
 51.998504894301732	 67.101079675055274	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
327.072255259214046	 40.068454103285532	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
143.631737175463030	-46.521178072357330	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 33.942110951570129	-18.238679166400907	|  NF   |  NF   |  NF   |  NF   | fail1 |success|1
 33.214779725661408	-17.685848966270456	|  NF   |  NF   |  NF   |  NF   | fail1 |  NF   |0
 33.942276106313642	-18.239203174852374	|  NF   |  NF   |  NF   |  NF   | fail1 |success|1
 92.026564231572607	-15.901382047216744	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
 92.947833128794301	-15.235958974074062	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
268.025303687617736	-32.055008192132043	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
277.841186760473647	-15.030233092791709	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.422685131933747	-15.094028842709074	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.808738813650734	-15.065630883264360	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.062667401315764	-15.077936691180639	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.757956554496559	-15.086008547893012	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
329.394364916705172	 50.441594998026240	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.386015666047228	-13.157202025171088	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
357.841569527595766	-24.139146890957118	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
355.658216268062290	-25.436751773098418	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
355.642842579535397	-25.435198305601858	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
216.796981492179356	-17.524674926081197	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
216.187922428966203	-17.610023951654021	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
216.205772917207696	-17.451883447703764	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
216.750678538665767	-17.251757365803719	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
216.205586737361415	-17.531219960991031	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
