ra,dec,CMC15,Pan-STARRS DR1,2MASS All-Sky,SDSS DR12,URAT1,UCAC4
252.99041971977985,-31.17670092213964,87.82251,674.9182,401.1173,956.4988400000001,468.62445,170.10007
253.3356351529063,-31.058343774293537,6.595428,13.421135999999999,9.823516,,145.20744,82.32481999999999
252.5920468214304,-30.951068600650547,8.527247000000001,490.25226,153.1894,425.7704,517.9529,406.55905
252.15823207781537,-31.1200196507658,302.34244,,,433.26572000000004,55.06731,449.59036
253.08651833581402,-31.21342690183415,3.5512905,,572.42474,6.659439599999999,25.320738000000002,390.78766
253.38418848519933,-31.04042471944813,646.81213,357.23996,621.9312,192.29187,1217.9271,621.1364
189.69042909387292,27.442971411493172,4.3059907,,130.91382,431.83475,6.5615067,398.02222
190.6172688804484,26.88106520746427,35.15254,357.90033,57.095955000000004,353.09564,,5.3951035
157.5734863536059,42.1518597896916,573.9306,,426.85767000000004,827.8141,87.156,174.73209
149.77246835521782,53.263687390930144,,,11.615817,,,
138.6849883935355,-0.5964472258717584,468.16168,9.008411,323.3236,,554.8709,
137.3756899089455,-0.3992224898607691,100.74034,481.6402,229.91402999999997,33.91183,2.1449466,4.387149
140.0296054274279,-0.1530540110835396,283.59317000000004,12.24962,,871.20526,83.694115,1014.0622599999999
145.62192936456057,-55.57533814061159,24.074139000000002,16.03118,1127.0625,2.9550164,2.1131623,5.281874
301.00185252462967,23.268309849111386,7.7838163,3.174896,8.411955,4.9113739999999995,,2.994977
301.69512911723024,23.55943292757797,,3.4199227999999997,27.472140000000003,641.18536,3.1039205,18.677528
301.3324720362541,23.654110564329354,1396.9994,12.205969999999999,111.21642,285.83252000000005,40.658215000000006,509.46587999999997
300.9624874808115,23.33675620903425,454.1949,350.9714,284.2512,395.0975,200.58156,1408.3026
252.8544338492427,-33.207034189466945,3.607918,6.836403999999999,,,7.6790977,2.2009337
253.00311696993165,-33.19493159423668,116.3539,272.75595,332.73107999999996,172.93048000000002,499.55585,10.356099
252.83387799876076,-33.11726146211964,328.8115,206.7962,301.30884,5.5021744,12.68009,708.6555
252.84413272515374,-33.164015321848375,26.916441,498.8329,667.54297,449.8612,443.18814000000003,821.4856599999999
253.13188891563343,-33.20800732157879,,492.91412,516.0688,9.309132,306.57773,
63.01464873043074,20.83114594373691,270.49557000000004,,26.07721,26.610885999999997,454.8222,187.17854
62.08222901283288,20.141588931458305,350.36646,2.9275434,9.534429,748.5709,10.3970585,61.151566
61.7643173993825,20.28060462183825,27.157602,25.248207,7.1013484,247.93062999999998,523.4496,102.80569
166.06633483176452,-38.044607378940356,503.1361,43.30605,,4.453887,,159.55983
174.62513139587838,-34.925998749594605,102.096695,282.61992999999995,24.87661,10.169767,,22.425335
95.31595170226541,6.295745758520387,184.15486,313.4312,949.25604,693.1289999999999,,
288.1125885113413,19.42126975996145,23.305578,,4.7814198,,,3.7799205999999996
123.5322311989728,-68.38571612949605,38.463306,556.9068599999999,426.35699999999997,128.02083000000002,,
357.32288989410904,-42.10346868249551,674.2484,1006.71466,75.23545,731.9231,404.381,384.61066
280.86658968830864,-7.949549134008981,6.6593757,8.238194,,,5.052576999999999,9.50876
280.9651011112619,-8.009645653698023,,8.621596,337.73596000000003,1.9850026,434.97687,290.0996
