ra,dec,pmra,pmdec,CMC15[dm|r|ra|dec|t],Pan-STARRS DR1[dm|r|ra|dec|t],2MASS All-Sky[dm|r|ra|dec|t],SDSS DR12[dm|r|ra|dec|t],URAT1[dm|r|ra|dec|t],UCAC4[dm|r|ra|dec|t]
196.48815206272357,-57.61352600235342,11.424122405860992,11.826485579714921,,,3.1|21.196|196.477246|-57.614193|1999.5,,,5.16|23.068|196.4809109|-57.6186212|1993.7
236.8006503583471,-19.167650936293413,-68.52537762787695,-79.70363688340196,0.74|1.102|236.800882|-19.167426|2005.1,1.94|0.065|236.80066449|-19.16763068|2011.9,0.99|21.641|236.805409|-19.171648|1998.4,2.18|1.062|236.800842|-19.167409|2005.4,,2.04|1.603|236.8009518|-19.1672992|1994.0
173.13630167897884,-64.42975521906978,-223.87992371593467,15.373418423479395,,,0.83|21.77|173.128085|-64.424866|2000.1,,,nan|17.804|173.1397921|-64.4344712|1993.5
195.0100201923456,-28.726080822944695,330.9936762911345,-281.9209959047388,0.49|4.83|195.008865|-28.725212|2004.3,1.71|2.69|195.0093761|-28.7256026|2010.2,2.24|22.642|195.015347|-28.721861|1998.4,,,nan|5.601|195.008665|-28.7250878|2000.0
195.03415869659096,-28.461081383007844,-132.0900836451611,-54.76956975302628,0.57|1.62|195.034646|-28.460921|2004.3,1.71|0.059|195.03417609|-28.46106743|2011.8,2.7|2.388|195.034869|-28.460836|1998.4,,,1.86|2.197|195.0348062|-28.4608417|1996.3
242.11108951132567,-28.119821511115198,-4.7405162115790445,2.590479135755744,4.57|9.174|242.110285|-28.122263|2006.1,0.03|22.474|242.11809051|-28.12078993|2012.8,3.93|18.745|242.111115|-28.114611|1998.5,,,3.1|9.205|242.1103124|-28.1222789|1983.9
241.9204408679417,-28.418211842898344,-122.0533284790176,-109.48671331908236,0.7|1.835|241.920898|-28.417885|2004.3,1.97|0.097|241.92047533|-28.41819325|2012.2,1.24|26.174|241.914392|-28.413261|1998.5,,,2.41|2.401|241.9210195|-28.4177681|1992.9
309.4318567631538,17.120841410302468,43.348784836975966,-43.447164519567956,0.09|23.694|309.437088|17.116559|2001.6,0.24|27.645|309.42923933|17.11358912|2011.8,1.3|23.896|309.437203|17.116602|1999.8,,1.03|24.091|309.4347211|17.1269567|2013.6,nan|24.021|309.4346677|17.1269581|1997.8
309.68476024991264,17.332419560848983,-116.06367523469402,-381.69447467232857,0.71|5.868|309.685239|17.333992|2000.7,1.86|1.761|309.68491514|17.33289369|2010.9,1.91|25.565|309.691897|17.330399|1999.8,,1.96|0.728|309.6848261|17.3326197|2013.6,2.01|5.549|309.6852462|17.3338975|2000.0
159.3480777653227,33.939240861978824,65.18228581980243,-19.56851927235327,0.64|0.975|159.347779|33.939339|2002.7,2.09|0.107|159.34804707|33.93924521|2012.4,3.11|1.193|159.347706|33.93935|1998.4,2.39|0.849|159.347813|33.939315|2004.1,2.26|0.185|159.3480285|33.9392636|2013.9,nan|1.205|159.34772|33.9393856|1971.7
160.7613262061846,34.44400224993012,12.240525843130591,-77.90413060838485,0.36|1.111|160.761292|34.444305|2001.3,1.71|0.084|160.7613184|34.44401962|2012.5,2.68|1.335|160.761275|34.444366|1998.2,1.97|0.923|160.761298|34.444253|2004.2,1.89|0.151|160.7613158|34.4440383|2013.9,1.89|1.03|160.7612848|34.4442817|2002.0
268.6851780790026,-37.02938598814391,-9.5101123868511,-23.754334688386567,2.99|28.185|268.69479|-37.027795|2009.3,,3.87|6.081|268.683229|-37.030022|1998.7,,,nan|7.018|268.6869848|-37.0306992|1993.2
267.18496273942185,-35.73276526623568,-22.349386703251024,4.958024019885452,1.68|19.473|267.178308|-35.732686|2008.4,,4.09|23.367|267.192939|-35.732216|1998.6,,,nan|8.983|267.1868098|-35.7347595|1997.0
268.6605480212133,-36.96335796627536,-10.790819869335618,11.322880541449626,2.35|28.877|268.669897|-36.960413|2009.3,,3.65|12.592|268.656337|-36.962421|1998.7,,,nan|1.891|268.66012|-36.9637453|1993.7
236.514726226569,-7.443348398257524,-80.512602923209,-11.860518634155277,0.72|1.022|236.51501|-7.443272|2002.5,1.84|0.021|236.51473097|-7.44333985|2012.2,2.89|1.369|236.515109|-7.443269|1999.2,,2.01|0.147|236.5147692|-7.443325|2013.8,2.01|1.31|236.5150942|-7.4432789|1997.3
0.6033724108226648,63.962728059457156,918.8525101579885,108.2691665910429,,0.61|2.246|0.60198342|63.96264138|2013.1,0.83|25.863|0.612481|63.956757|1999.7,,1.01|29.276|0.6218361|63.9619758|2013.5,1.01|29.303|0.6218621|63.9620181|2002.8
133.9485685281792,61.166644801724864,39.31343844543271,-115.17841617967049,,0.52|2.036|133.948197|61.167175|1999.8,1.31|2.036|133.948197|61.167175|1999.8,0.73|1.659|133.94825|61.167073|2003.8,nan|0.228|133.9485378|61.1667003|2013.8,nan|1.91|133.9482121|61.1671406|1991.0
