RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
357.322889894109039	-42.103468682495510	12.192780	| fail1 | fail1 |  NF   | fail1 | fail1 |success|1
280.866589688308636	 -7.949549134008980	19.655218	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
280.965101111261902	 -8.009645653698023	19.752861	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
105.092163597856896	 58.873590925577219	14.557694	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
 98.924991174422559	 59.738091895092850	15.491976	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
115.862395232984994	  8.257680556899588	11.870503	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
257.873131967622271	-16.491882430021434	 7.457291	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
242.921256896565637	-34.690771814879447	20.527520	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
250.455535954088361	-31.895685307902959	20.405626	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
250.438980242955893	-31.726557251636599	20.242723	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
261.175067219052039	-46.257255827642382	19.728565	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
255.299308146081074	 55.582609592633759	11.764592	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
257.785079744781171	 56.658900898024250	 6.789567	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
279.126251918337857	 -4.102680852271977	20.390528	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
265.336168418131876	-26.143055382464805	20.118708	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.639105682659419	-25.866954198198542	18.936266	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.631933757520301	-25.993351127873996	20.131214	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.402755524555232	-26.032413971418134	20.281923	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.610817332769670	-25.806469172447649	19.896524	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
