,gaia_ra,gaia_dec,cat_ra,cat_dec,dt,dm,dist_sec,gaia_pmra,gaia_pmdec,new_pmksi,new_pmeta,F
5878649010807358848,217.98022680665557,-60.590255687529876,217.9814974,-60.59448620000001,25.200000000000053,4.28,15.395,-1.4471761677952073,-8.018460459444588,1.9888512289405813,-6.164400292777997,1.8386501683376248
6038488383397601152,242.45394956647903,-30.515440183664776,242.4536745,-30.5155864,36.4000000000001,,1.034,46.81249007433723,39.03779697317624,-5.906293116191468,-7.084314593284142,58.259424102774545
6038462613596055808,244.05383817456558,-29.62587579781432,244.0541336,-29.625373100000004,21.09999999999991,1.75,2.007,-59.87219924757179,-117.21737845462492,-4.223404360270133,-3.0015976565557723,73.4959178713013
2590679197266003200,20.87072480698097,15.292488184476044,20.869318300000003,15.2877445,16.09999999999991,1.19,17.771,-33.315634136632966,-312.29271896268267,4.050371415826588,0.6671492182211988,165.20534108171498
427104673334306176,9.889655116145038,60.55308006404253,9.8909739,60.55432729999999,11.900000000000093,,5.042,-157.50943792383214,-292.54303358867463,-8.52262576467324,8.102038846853167,129.60928748452727
4407462419447213184,246.03029789374585,-0.25687997394147943,246.02568829999998,-0.253342,18.09999999999991,2.23,20.928,-0.083737874405371,-9.852902891769457,-1.8474932130218118,-1.3172629654049184,4.1547966398374925
3371211060034144896,99.10572478759329,18.513547760954005,99.1056762,18.5142981,15.5,1.96,2.729,13.252608463043835,-185.62893878477317,-17.905767283114177,1.496694095323267,79.61385599771587
4145011265935860864,270.16197597418824,-16.68468726140543,270.16729239999995,-16.6848859,17.200000000000045,,18.324,-13.928611626781109,4.757048862819799,0.8038963486696064,2.8174280170743264,8.647707145499089
4145014289599894656,270.1379688402758,-16.670546627717194,270.1401103,-16.667305300000002,16.09999999999991,5.91,13.78,-13.412416172457178,6.298308105578537,-7.001666384276742,3.448941705964194,3.492740934906898
4145015148588936576,270.0188259017549,-16.644908321702626,270.0225215,-16.6430492,17.70000000000005,,14.366,-15.1768298895495,9.47688437230578,-0.6648092230436846,-1.1014457918688578,6.42344052031641
4145016282467841152,270.1561222881497,-16.589879081126963,270.1534065,-16.5912434,25.799999999999947,,10.61,-16.79401915673032,4.114374182217726,-10.446733056985448,0.8830561239834119,3.018736149120961
4144998896511020928,268.65475932428103,-15.814526729615624,268.6513359,-15.8174739,18.0,,15.943,-6.982367256306577,-1.499386959706169,3.5350717669779645,9.23509455634947,5.336680129733178
4145015938869894272,270.1800661448332,-16.62284908362641,270.1791442,-16.62973,16.299999999999955,6.63,24.998,-13.626339046597304,6.4449388190045225,-0.6483242329996605,-42.702682051723016,15.200271967549336
978086481343568128,107.8658259795923,48.327932722393726,107.866275,48.3299025,15.5,1.54,7.191,-93.0761681487608,-570.5525197717676,-1.9006984271706624,-1.0412275793169232,241.9269678249789
978092356858891008,108.36412189587375,48.28190587969664,108.3648871,48.2826073,15.5,2.26,3.128,-143.74927811078368,-210.4233835796392,-3.0505807859715808,-0.1256450439065565,125.32589207153693
6063334013323123712,197.25599432142346,-57.45532884596653,197.2532333,-57.4571425,36.0,,8.456,33.71783487447562,54.45638291334296,-1.0311796299302372,0.9754950584653792,46.24076546119125
6063331470677755776,196.80439709997142,-57.44034417935782,196.8149433,-57.43889670000001,20.09999999999991,6.87,21.058000000000003,-15.854939917158426,-16.7805937382722,-26.65450345674821,22.62386725179962,13.320851783832055
6063335456432271744,197.23800971738925,-57.36041538728581,197.225598,-57.3584767,21.90000000000009,4.31,25.121,-11.70090012383515,-19.401067078407273,4.511682023225852,2.5669530074806413,13.118787921183474
6063336865181671168,197.02328627880257,-57.41571624538077,197.02084,-57.41697729999999,19.29999999999995,5.3,6.585,-13.53778856080983,-18.1278398713368,6.239933312093762,5.526924995378522,12.087093721358158
6063331676860834688,197.00916143527598,-57.56827317175912,197.0001209,-57.56662339999999,38.5,,18.467,5.065449558129811,10.842810494289756,5.148088662667221,1.2536931730899474,10.426417245917412
6063336349785593472,196.93581066384976,-57.448269638029956,196.9474577,-57.4482817,22.40000000000009,4.97,22.53,25.711558887864012,26.634867410533708,-4.5128149906825685,1.7227779668498762,21.79987624020631
6063328412660234624,196.48815206272357,-57.61352600235342,196.48091090000003,-57.61862120000001,21.799999999999947,5.16,23.068,11.424122405860992,11.826485579714921,-2.4386475828446947,-4.75911295256909,10.253741018874145
6248026781060670080,236.8006503583471,-19.167650936293413,236.8009518,-19.1672992,21.5,2.04,1.6030000000000002,-68.52537762787695,-79.70363688340196,-3.735373485029922,-1.335431861906124,44.743354040025004
5333462835980579072,173.13630167897884,-64.42975521906978,173.1397921,-64.4344712,22.0,,17.804000000000006,-223.87992371593467,15.373418423479395,-2.4199639787365217,1.7372398362628532,128.34871703165518
